City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.59,26.89,53.13,50,7,13.47,ZA,1597900628
Altamira,-3.2,-52.21,74.79,60,23,2.39,BR,1597900629
Havre-St-Pierre,50.23,-63.6,59.0,82,90,6.93,CA,1597900629
Bluff,-46.6,168.33,48.99,93,100,7.0,NZ,1597900629
Barrow,71.29,-156.79,39.2,93,90,9.17,US,1597900629
New Norfolk,-42.78,147.06,57.0,73,53,4.0,AU,1597900520
Xining,36.62,101.77,73.56,39,20,3.27,CN,1597900630
Rikitea,-23.12,-134.97,70.16,83,98,20.78,PF,1597900630
Busselton,-33.65,115.33,61.0,77,62,1.99,AU,1597900630
Arraial do Cabo,-22.97,-42.03,71.17,91,1,23.11,BR,1597900631
Sarkand,45.41,79.92,82.9,15,0,6.15,KZ,1597900631
Ushuaia,-54.8,-68.3,39.2,86,75,23.04,AR,1597900631
Zaysan,47.47,84.87,82.96,17,28,2.15,KZ,1597900631
Imbituba,-28.24,-48.67,60.8,63,75,13.87,BR,1597900632
Oriximiná,-1.77,-55.87,79.74,65,27,3.87,BR,1597900395
Pucallpa,-8.38,-74.55,77.25,79,54,1.63,PE,1597900632
Kungurtug,50.6,97.52,70.47,43,100,1.99,RU,1597900632
Zliten,32.47,14.57,77.13,78,0,2.06,LY,1597900527
Albany,42.6,-73.97,61.0,72,2,4.12,US,1597900633
Port Shepstone,-30.74,30.45,50.92,59,0,8.77,ZA,1597900633
Davila,18.47,120.58,82.4,88,75,3.36,PH,1597900633
Xiongzhou,25.12,114.3,91.96,57,79,2.66,CN,1597900634
Paratinga,-12.69,-43.18,66.96,71,1,3.31,BR,1597900634
Tautira,-17.73,-149.15,78.8,74,40,8.05,PF,1597900634
Codrington,-38.27,141.97,55.17,65,24,21.94,AU,1597900635
Tateyama,34.98,139.87,90.0,66,20,13.87,JP,1597900635
Bengkulu,-3.8,102.27,87.17,60,100,7.65,ID,1597900635
Serebryansk,49.69,83.29,78.8,34,75,6.71,KZ,1597900636
Tezu,27.92,96.17,94.19,43,0,3.49,IN,1597900636
Hermanus,-34.42,19.23,48.0,92,89,10.13,ZA,1597900636
Carnarvon,-24.87,113.63,69.8,37,84,9.17,AU,1597900636
Ahipara,-35.17,173.17,61.39,74,0,15.41,NZ,1597900637
São Filipe,14.9,-24.5,76.87,81,19,11.25,CV,1597900637
Saskylakh,71.92,114.08,47.97,54,99,3.62,RU,1597900637
Seoul,37.57,126.98,91.4,55,1,5.82,KR,1597900605
Ambilobe,-13.2,49.05,76.77,50,44,6.2,MG,1597900638
Tiksi,71.69,128.87,39.58,90,100,6.2,RU,1597900638
Nikolskoye,59.7,30.79,57.99,82,0,4.47,RU,1597900638
Kahului,20.89,-156.47,80.6,65,40,19.46,US,1597900638
Slavutych,51.52,30.73,67.37,72,42,6.13,UA,1597900639
Guerrero Negro,27.98,-114.06,76.44,71,0,14.23,MX,1597900639
Atuona,-9.8,-139.03,78.76,77,17,15.66,PF,1597900639
Chokurdakh,70.63,147.92,38.95,78,100,10.78,RU,1597900640
Moerai,-22.43,-151.33,69.73,72,91,29.15,PF,1597900640
Derzhavīnsk,51.1,66.32,59.9,42,7,19.13,KZ,1597900640
Bambous Virieux,-20.34,57.76,75.2,64,40,11.41,MU,1597900640
Hobart,-42.88,147.33,55.99,50,75,12.75,AU,1597900608
Lebu,-37.62,-73.65,43.29,73,0,16.15,CL,1597900641
Peleduy,59.63,112.74,81.91,26,0,1.86,RU,1597900641
Punta Arenas,-53.15,-70.92,46.4,70,62,29.97,CL,1597900448
Tupik,54.43,119.93,69.91,46,2,7.85,RU,1597900642
Batagay,67.63,134.63,51.3,46,34,10.92,RU,1597900642
Yuxia,34.06,108.63,77.0,88,90,8.95,CN,1597900642
Kavieng,-2.57,150.8,84.88,67,79,6.98,PG,1597900643
Praia da Vitória,38.73,-27.07,68.0,72,75,12.48,PT,1597900643
Hilo,19.73,-155.09,75.2,83,90,6.93,US,1597900185
Mackenzie,55.3,-123.17,57.2,76,90,4.7,CA,1597900644
General Roca,-39.03,-67.58,30.2,74,0,10.38,AR,1597900644
Mataura,-46.19,168.86,48.99,93,98,7.0,NZ,1597900644
Petropavlovsk-Kamchatskiy,53.05,158.65,53.6,100,90,4.47,RU,1597900645
Mallāpuram,11.97,78.25,86.0,62,40,3.36,IN,1597900645
